Mark Begich (D),8000.0,560,D
Lisa Murkowski (R),10500.0,1112,R
Renee Ellmers (R),31050.0,152,R
Roger Wicker (R),42000.0,698,R
Roger Williams (R),15900.0,29,R
Steve Fincher (R),5000.0,48,R
Ted Yoho (R),1000.0,27,R
Johnny Isakson (R),29250.0,964,R
Jim Himes (D),54750.0,146,D
Gwen Moore (D),14500.0,433,D
Jackie Speier (D),78125.0,447,D
Jackie Walorski (R),26450.0,31,R
Ted Cruz (R),94000.0,408,R
Kevin Brady (R),59500.0,849,R
Ami Bera (D),16000.0,95,D
Anna Eshoo (D),230228.0,1011,D
Mike Thompson (D),90550.0,619,D
Pedro Pierluisi (D),25750.0,91,D
Henry Cuellar (D),14500.0,236,D
Jim Renacci (R),30000.0,20,R
Michael Grimm (R),23541.0,44,R
Suzan DelBene (D),3500.0,0,D
Kristi Noem (R),22500.0,39,R
Marcy Kaptur (D),4750.0,2009,D
Paul Cook (R),5000.0,5,R
Rodney Frelinghuysen (R),78500.0,778,R
Richard E. Neal (D),107573.0,849,D
Mo Brooks (R),11384.0,102,R
Thomas Massie (R),29701.0,10,R
Mick Mulvaney (R),8500.0,63,R
Dennis Ross (R),22000.0,28,R
Frank A. LoBiondo (R),3000.0,231,R
Jason Chaffetz (R),45195.0,291,R
Mark Warner (D),26250.0,488,D
Jan Schakowsky (D),18000.0,2177,D
John Fleming (R),19300.0,811,R
Mike Michaud (D),23500.0,463,D
Suzanne Bonamici (D),4500.0,38,D
John L. Mica (R),9000.0,1008,R
Steve Stockman (R),4500.0,9,R
Jim Moran (D),6000.0,1962,D
Eric Cantor (R),217050.0,991,R
Mike Coffman (R),12050.0,731,R
Sam Graves (R),13000.0,269,R
Phil Gingrey (R),108000.0,3023,R
John Garamendi (D),12000.0,1588,D
Pete Visclosky (D),1000.0,751,D
Steny H. Hoyer (D),144500.0,3799,D
Jim Jordan (R),25500.0,277,R
Jerrold Nadler (D),1000.0,1171,D
Ron DeSantis (R),5000.0,43,R
Eddie Bernice Johnson (D),1250.0,1267,D
David McKinley (R),29650.0,60,R
Michael F. Bennet (D),64000.0,623,D
Alan Grayson (D),600.0,208,D
Steve Stivers (R),69800.0,45,R
Dina Titus (D),7250.0,128,D
Grace Napolitano (D),3000.0,267,D
Tim Kaine (D),85000.0,122,D
John K. Delaney (D),6750.0,11,D
Zoe Lofgren (D),40500.0,659,D
Paul Gosar (R),3500.0,88,R
Kenny Marchant (R),22500.0,199,R
Charlie Dent (R),71750.0,310,R
Daniel Lipinski (D),6000.0,197,D
Scott Peters (D),3500.0,35,D
Donald M. Payne (D),32200.0,0,D
Pete King (R),6000.0,245,R
Ben R. Lujan (D),13500.0,92,D
John Campbell (R),40500.0,253,R
Matt Cartwright (D),200.0,68,D
George Holding (R),12700.0,49,R
Jerry McNerney (D),21000.0,154,D
Ann Kirkpatrick (D),6000.0,82,D
Adam Smith (D),39600.0,397,D
Thomas Cotton (R),1750.0,6,R
Chuck Grassley (R),16500.0,8163,R
Timothy H. Bishop (D),27250.0,506,D
Pat Toomey (R),103500.0,401,R
Peter DeFazio (D),250.0,2061,D
Raul Labrador (R),2500.0,10,R
Steve Southerland (R),500.0,28,R
Ruben Hinojosa (D),1000.0,436,D
Steve Israel (D),39250.0,455,D
Jack Kingston (R),23150.0,2190,R
John Carney (D),76352.0,54,D
Gloria McLeod (D),1000.0,7,D
Susan Brooks (R),58879.0,24,R
Juan Vargas (D),21000.0,35,D
Tammy Duckworth (D),6200.0,32,D
Patrick Meehan (R),103250.0,21,R
Jeb Hensarling (R),14000.0,1500,R
James E. Risch (R),8000.0,83,R
Edward J. Markey (D),30000.0,1424,D
Joe Donnelly (D),102283.0,183,D
Paul Broun Jr (R),3000.0,1343,R
Diane Black (R),87091.0,148,R
John D. Dingell (D),83500.0,2071,D
Doris O. Matsui (D),55200.0,768,D
Paul Tonko (D),3800.0,1201,D
Elizabeth Warren (D),105000.0,79,D
Greg Walden (R),99394.0,638,R
Pete Sessions (R),69000.0,1665,R
Pat Roberts (R),80000.0,1584,R
Ander Crenshaw (R),6500.0,217,R
Amy Klobuchar (D),148775.0,1130,D
Jeff Miller (R),24500.0,470,R
David Price (D),59000.0,827,D
Cheri Bustos (D),500.0,21,D
Walter B. Jones Jr (R),6500.0,770,R
Lindsey Graham (R),10500.0,864,R
Kurt Schrader (D),62500.0,125,D
Bernie Sanders (I),1000.0,3362,I
Nick Rahall (D),1000.0,745,D
Tim Huelskamp (R),2000.0,73,R
Thad Cochran (R),4500.0,1813,R
Kevin McCarthy (R),202900.0,196,R
Mark Udall (D),49000.0,2294,D
John A. Barrasso (R),168050.0,1933,R
Kirsten Gillibrand (D),145450.0,270,D
John Lewis (D),33500.0,700,D
Richard Hanna (R),5000.0,32,R
Steven Daines (R),1950.0,41,R
Steve Cohen (D),5000.0,835,D
Charles E. Schumer (D),32250.0,2511,D
Peter Roskam (R),127916.0,241,R
Heidi Heitkamp (D),22750.0,38,D
Bill Nelson (D),77000.0,2203,D
John B. Larson (D),58300.0,790,D
Fred Upton (R),311865.0,568,R
Michael G. Fitzpatrick (R),37890.0,233,R
Ann Mclane Kuster (D),2550.0,42,D
Ed Royce (R),10950.0,538,R
Allyson Schwartz (D),183200.0,656,D
Edwin G. Perlmutter (D),21700.0,418,D
Adam Kinzinger (R),57200.0,62,R
Rick Crawford (R),5450.0,47,R
Bill Pascrell Jr (D),90818.0,850,D
Shelley Moore Capito (R),20250.0,625,R
Frank Pallone Jr (D),185059.0,7203,D
Kathy Castor (D),12750.0,605,D
Ben Cardin (D),76480.0,3580,D
Kay Granger (R),36750.0,290,R
Chris Coons (D),79000.0,371,D
Loretta Sanchez (D),58500.0,758,D
Bob Goodlatte (R),16500.0,757,R
Dana Rohrabacher (R),12000.0,1293,R
Chellie Pingree (D),1250.0,398,D
Mark Amodei (R),5750.0,9,R
Rick Nolan (D),2250.0,0,D
Julia Brownley (D),2200.0,35,D
Kyrsten Sinema (D),300.0,26,D
Earl Blumenauer (D),15000.0,2732,D
Matt Salmon (R),19735.0,155,R
Melvin L. Watt (D),39250.0,460,D
Sheila Jackson Lee (D),4250.0,8402,D
Jerry Moran (R),13750.0,897,R
Gene Green (D),55700.0,2335,D
Trent Franks (R),250.0,456,R
Mike Lee (R),4000.0,356,R
Trey Radel (R),3000.0,15,R
Steven A. King (R),14750.0,2518,R
Aaron Schock (R),84250.0,87,R
Bennie G. Thompson (D),51000.0,609,D
Tim Scott (R),19750.0,119,R
Emanuel Cleaver (D),20000.0,242,D
Rob Portman (R),72500.0,1081,R
Joaquin Castro (D),19550.0,16,D
Richard Blumenthal (D),22000.0,485,D
Chris Smith (R),13300.0,2434,R
Gregory W. Meeks (D),27000.0,279,D
Yvette D. Clarke (D),6500.0,251,D
John Hoeven (R),21160.0,258,R
Darrell Issa (R),82750.0,395,R
Max Baucus (D),137668.0,6200,D
Rosa L. DeLauro (D),33500.0,3587,D
John Sarbanes (D),10250.0,286,D
Mary L. Landrieu (D),16500.0,2594,D
Karen Bass (D),14000.0,80,D
Robert Menendez (D),243588.0,2342,D
Mike Enzi (R),77250.0,3694,R
John Kline (R),56000.0,317,R
John J. Duncan Jr (R),1000.0,867,R
Orrin G. Hatch (R),545077.0,6508,R
Joe Courtney (D),52550.0,600,D
Cedric Richmond (D),23500.0,48,D
Nancy Pelosi (D),40500.0,2457,D
Tom Udall (D),10350.0,1267,D
Stephen F. Lynch (D),6750.0,481,D
Robert A. Brady (D),3750.0,302,D
Michael Burgess (R),167250.0,2706,R
Bill Flores (R),8000.0,51,R
Jeff Denham (R),34500.0,152,R
Sam Farr (D),7000.0,1242,D
Cory Gardner (R),72000.0,155,R
G. K. Butterfield (D),66850.0,472,D
Tom Marino (R),17500.0,42,R
Mark Pryor (D),8500.0,834,D
Mike Conaway (R),1000.0,447,R
John Culberson (R),2000.0,453,R
George Miller (D),3000.0,2170,D
Ron Kind (D),146649.0,1318,D
Sherrod Brown (D),97970.0,6816,D
Ken Calvert (R),16000.0,459,R
Jim McDermott (D),9750.0,2859,D
Linda Sanchez (D),53666.0,2,D
Candice S. Miller (R),500.0,431,R
Richard Hudson (R),24100.0,23,R
Jared Polis (D),6690.0,937,D
Louise M. Slaughter (D),13500.0,2415,D
Elizabeth Esty (D),34250.0,11,D
Leonard Lance (R),171750.0,223,R
Chaka Fattah (D),18750.0,270,D
Jeanne Shaheen (D),16000.0,721,D
Mike Kelly (R),11500.0,38,R
Louis B. Gohmert Jr (R),3000.0,1747,R
Harry Reid (D),36700.0,21741,D
Bill Owens (D),7750.0,76,D
Austin Scott (R),1384.0,3,R
Morgan Griffith (R),11000.0,39,R
William L. Clay Jr (D),13000.0,370,D
Michael R. Turner (R),5000.0,200,R
Tammy Baldwin (D),49570.0,807,D
Elijah E. Cummings (D),9250.0,1293,D
Robert E. Andrews (D),21700.0,1510,D
Bob Gibbs (R),3500.0,36,R
Sander Levin (D),48500.0,1583,D
Erik Paulsen (R),230850.0,301,R
John Cornyn (R),76000.0,3020,R
Tim Griffin (R),24884.0,195,R
Devin Nunes (R),80000.0,90,R
Hank Johnson (D),7000.0,498,D
Joe Kennedy III (D),24800.0,0,D
Richard Burr (R),30529.0,1192,R
Barbara Lee (D),21750.0,2592,D
Brett Guthrie (R),112500.0,169,R
Jared Huffman (D),2250.0,36,D
Michelle Lujan Grisham (D),8300.0,0,D
Dutch Ruppersberger (D),4500.0,237,D
Kay R. Hagan (D),170699.0,354,D
Martha Roby (R),4384.0,127,R
Carolyn B. Maloney (D),2500.0,2852,D
Lynn Jenkins (R),21000.0,149,R
Barbara A. Mikulski (D),32250.0,3059,D
Nydia M. Velazquez (D),5000.0,522,D
John Carter (R),10500.0,701,R
Mario Diaz-Balart (R),13500.0,372,R
David Loebsack (D),1000.0,145,D
Chuck Fleischmann (R),11000.0,25,R
F. James Sensenbrenner Jr (R),9000.0,1325,R
Steve Chabot (R),6500.0,505,R
Larry Bucshon (R),31422.0,79,R
Tom Harkin (D),93550.0,6799,D
Vernon Buchanan (R),56400.0,152,R
John Conyers Jr (D),17100.0,2244,D
Timothy J. Walz (D),21750.0,358,D
Jeff Merkley (D),26700.0,964,D
Albio Sires (D),11500.0,324,D
Tom Price (R),72850.0,1351,R
Ann L. Wagner (R),16750.0,42,R
Bill Keating (D),33250.0,88,D
Tim Murphy (R),82500.0,894,R
Henry A. Waxman (D),68000.0,1816,D
Robert Hurt (R),26250.0,46,R
Jim Gerlach (R),151450.0,174,R
Sean P. Duffy (R),18250.0,84,R
Alan Nunnelee (R),18500.0,62,R
Virginia Foxx (R),19000.0,2032,R
Patty Murray (D),25950.0,4221,D
Eric Swalwell (D),23250.0,54,D
Blaine Luetkemeyer (R),9000.0,112,R
Mike Rogers (R),146999.0,218,R
Scott Perry (R),300.0,27,R
Jim Langevin (D),7800.0,1144,D
James P. McGovern (D),20000.0,3171,D
Michele Bachmann (R),50755.0,699,R
Randy Neugebauer (R),1250.0,349,R
Joe Wilson (R),8000.0,1227,R
Joe Pitts (R),226859.0,1170,R
Mark Takano (D),3500.0,80,D
Jon Tester (D),84500.0,493,D
Rand Paul (R),3750.0,363,R
Ralph M. Hall (R),1000.0,625,R
Ron Johnson (R),14500.0,178,R
Brad Sherman (D),49000.0,713,D
Kelly Ayotte (R),47000.0,207,R
Frederica Wilson (D),3000.0,104,D
Patrick Leahy (D),7000.0,7523,D
Collin C. Peterson (D),5500.0,151,D
Grace Meng (D),13000.0,13,D
Scott Rigell (R),1384.0,54,R
Bob Casey (D),265780.0,1503,D
Dave Reichert (R),42017.0,304,R
Dave Camp (R),247900.0,852,R
Ileana Ros-Lehtinen (R),15050.0,1551,R
Lamar Smith (R),48000.0,990,R
Jack Reed (D),7500.0,3141,D
Diana DeGette (D),101909.0,623,D
Tim Ryan (D),17500.0,2686,D
Spencer Bachus (R),7000.0,524,R
Tom Carper (D),140800.0,1104,D
Brad Schneider (D),33354.0,31,D
Saxby Chambliss (R),31500.0,1266,R
Mark Kirk (R),25500.0,1068,R
Gary Miller (R),8000.0,64,R
Joe Heck (R),20384.0,65,R
Al Franken (D),36349.0,660,D
Alan Lowenthal (D),1000.0,27,D
David Cicilline (D),9500.0,340,D
Gregg Harper (R),6500.0,94,R
Buck Mckeon (R),32500.0,651,R
Nita M. Lowey (D),15250.0,1177,D
James E. Clyburn (D),122644.0,435,D
John Boehner (R),280250.0,1225,R
Alcee L. Hastings (D),1000.0,1784,D
Patrick McHenry (R),39750.0,340,R
Lucille Roybal-Allard (D),18750.0,625,D
Sean Maloney (D),13000.0,0,D
Doc Hastings (R),9500.0,1043,R
Hal Rogers (R),20500.0,706,R
Christopher S. Murphy (D),65027.0,1098,D
Michael O. Johanns (R),7500.0,791,R
Debbie Wasserman Schultz (D),35050.0,150,D
Ron Wyden (D),32491.0,3534,D
Raul Ruiz (D),200.0,16,D
John M. Shimkus (R),148800.0,831,R
David Schweikert (R),13000.0,57,R
Rodney Davis (R),13250.0,0,R
James Bridenstine (R),1500.0,33,R
Ted Poe (R),8000.0,1745,R
Markwayne Mullin (R),250.0,14,R
Marlin Stutzman (R),36150.0,136,R
Marsha Blackburn (R),123933.0,1142,R
Joseph Crowley (D),97650.0,920,D
Daniel Webster (R),250.0,76,R
Donna Christian-Christensen (D),38615.0,1210,D
Tom Reed (R),48500.0,191,R
Scott Desjarlais (R),1500.0,81,R
Mike Crapo (R),17750.0,1176,R
Todd Young (R),32084.0,78,R
Sanford D. Bishop Jr (D),15750.0,422,D
Patrick J. Tiberi (R),128050.0,204,R
Rob Bishop (R),7000.0,678,R
Peter Welch (D),18000.0,518,D
Chris Van Hollen (D),27363.0,1616,D
Bill Huizenga (R),7000.0,31,R
Cathy McMorris Rodgers (R),61250.0,21,R
Frank D. Lucas (R),1500.0,195,R
Joe Barton (R),87700.0,974,R
Howard Coble (R),16000.0,415,R
Mazie K. Hirono (D),6250.0,521,D
Jeff Fortenberry (R),4000.0,275,R
Raul M. Grijalva (D),2500.0,373,D
Bruce Braley (D),69634.0,332,D
Glenn Thompson (R),23652.0,812,R
Lee Terry (R),50222.0,583,R
Marcia L. Fudge (D),18000.0,331,D
John Thune (R),23250.0,2669,R
Susan Collins (R),21250.0,3164,R
Adam Schiff (D),21250.0,832,D
Keith J. Rothfus (R),7000.0,60,R
Dan Benishek (R),9500.0,127,R
Maxine Waters (D),2000.0,1261,D
Sam Johnson (R),32545.0,672,R
Dennis Heck (D),21250.0,10,D
Joyce Beatty (D),20750.0,79,D
Scott Tipton (R),3000.0,100,R
Ed Pastor (D),2000.0,211,D
Trey Gowdy (R),7750.0,16,R
Tony Cardenas (D),19500.0,32,D
Dan Kildee (D),500.0,50,D
Robert Pittenger (R),6000.0,59,R
Justin Amash (R),12000.0,9,R
Angus King (I),20200.0,61,I
Claire McCaskill (D),79275.0,440,D
Carol Shea-Porter (D),5250.0,222,D
Lynn A. Westmoreland (R),1500.0,412,R
Adrian Smith (R),28500.0,199,R
Brad Wenstrup (R),7700.0,17,R
Mac Thornberry (R),22500.0,235,R
Bill Foster (D),12000.0,62,D
Steven Palazzo (R),1384.0,35,R
Cynthia Marie Lummis (R),5000.0,338,R
Rob Wittman (R),4500.0,185,R
Tom Graves (R),11500.0,107,R
Dianne Feinstein (D),111850.0,4538,D
Gus Bilirakis (R),5750.0,262,R
Carolyn McCarthy (D),31000.0,911,D
Jon Runyan (R),39884.0,32,R
Lamar Alexander (R),25650.0,3557,R
Charles W. Boustany Jr (R),136305.0,505,R
Steve Womack (R),1000.0,45,R
Reid Ribble (R),27520.0,25,R
Jay Rockefeller (D),9000.0,2835,D
Jim Costa (D),1500.0,362,D
Steven Horsford (D),19000.0,64,D
Jim Cooper (D),6750.0,298,D
Gerry Connolly (D),16500.0,857,D
Tom Rice (R),500.0,32,R
Jim Matheson (D),173996.0,304,D
Rush Holt (D),82950.0,1871,D
Michael McCaul (R),7000.0,152,R
James M. Inhofe (R),3500.0,2904,R
Mike Pompeo (R),38500.0,48,R
Richard C. Shelby (R),6000.0,880,R
Carl Levin (D),1000.0,4729,D
Filemon Vela (D),1000.0,4,D
John F. Tierney (D),11800.0,586,D
Andre Carson (D),18500.0,112,D
Bob Corker (R),147477.0,580,R
David Vitter (R),7000.0,1086,R
David Valadao (R),10000.0,11,R
Janice Hahn (D),8500.0,100,D
Keith Ellison (D),22225.0,1267,D
Mitch McConnell (R),171500.0,6768,R
Judy Chu (D),10750.0,314,D
Dick Durbin (D),26000.0,13276,D
Richard Nugent (R),10000.0,136,R
Paul Ryan (R),112650.0,1621,R
Robert B. Aderholt (R),30000.0,248,R
Bill Shuster (R),10000.0,445,R
Jeff Sessions (R),11000.0,5569,R
Jeff Flake (R),28714.0,766,R
Tom Rooney (R),2500.0,71,R
Frank R. Wolf (R),1000.0,1610,R
Pete Olson (R),34000.0,219,R
Derek Kilmer (D),16000.0,42,D
Donna Edwards (D),3000.0,671,D
Dan Maffei (D),9250.0,89,D
Hakeem Jeffries (D),9650.0,86,D
Andy Barr (R),7250.0,70,R
Danny K. Davis (D),16500.0,2270,D
Debbie Stabenow (D),90950.0,3851,D
Mike Rogers (R),146999.0,401,R
David P Joyce (R),11750.0,7,R
Mark Pocan (D),2509.0,143,D
James Lankford (R),2500.0,101,R
Bobby Scott (D),1500.0,1497,D
Mark R. Meadows (R),5500.0,29,R
John A. Yarmuth (D),8500.0,652,D
Ted Deutch (D),2000.0,190,D
Blake Farenthold (R),500.0,70,R
Susan A. Davis (D),27000.0,650,D
Dan Coats (R),17000.0,1020,R
Mike McIntyre (D),28500.0,178,D
Sheldon Whitehouse (D),99183.0,2411,D
Chris Stewart (R),13250.0,24,R
Niki Tsongas (D),28000.0,184,D
Steve Scalise (R),54700.0,561,R
Lou Barletta (R),3500.0,104,R
Tom Coburn (R),13166.0,4054,R
Todd Rokita (R),35500.0,82,R
Joe Garcia (D),1000.0,24,D
Rick Larsen (D),22000.0,130,D
Xavier Becerra (D),82041.0,638,D
John Barrow (D),97000.0,97,D
Bill Cassidy (R),79203.0,384,R
Jeff Duncan (R),10000.0,90,R
Robert E. Latta (R),46000.0,169,R
Terri A. Sewell (D),6500.0,78,D
Andy Harris (R),3250.0,208,R
David Scott (D),7000.0,463,D
Ron Barber (D),4250.0,40,D
Lois Capps (D),40500.0,1739,D
Randy Hultgren (R),13000.0,112,R
Pete Gallego (D),6750.0,16,D
Colleen Hanabusa (D),17500.0,144,D
Kevin Yoder (R),22250.0,68,R
Billy Long (R),10000.0,51,R
Tom Latham (R),112300.0,578,R
Tom Cole (R),1500.0,278,R
Joe Manchin (D),160100.0,190,D
Duncan D. Hunter (R),11400.0,67,R
Dean Heller (R),65745.0,208,R
Lloyd Doggett (D),17750.0,1440,D
Phil Roe (R),3250.0,880,R
Gary Peters (D),35000.0,227,D
Rob Woodall (R),6000.0,395,R
Mike Honda (D),31950.0,720,D
Chris Gibson (R),12250.0,36,R
Martin Heinrich (D),47050.0,101,D
Ed Whitfield (R),90750.0,452,R
Doug LaMalfa (R),5500.0,22,R
Bill Johnson (R),31500.0,79,R
Eliot L. Engel (D),33750.0,953,D
Betty McCollum (D),11250.0,1260,D
Brian M. Higgins (D),14500.0,496,D
Roy Blunt (R),13500.0,1135,R
Scott Garrett (R),30920.0,890,R
Maria Cantwell (D),48950.0,1126,D
Marco Rubio (R),27400.0,342,R
Mike Simpson (R),9000.0,361,R
Mike Doyle (D),19250.0,268,D
Vicky Hartzler (R),2584.0,86,R
Marc Veasey (D),7000.0,71,D
Michael E. Capuano (D),58250.0,327,D